Asset,Time Period,Length of Return,Candle Pattern,Value,Avg % Return Following Pattern,Avg % Return In General,Avg Volume Following Pattern,Avg Volume In General,p-value Returns,p-value Volume,Occurrences
SPY,5y,3,Thrusting Pattern,-100,0.6042,0.1815,85859787.0,81820017,0.47,0.75,10
SPY,5y,3,Thrusting Pattern,100,,0.1834,,81845080,,,0
SPY,5y,3,Tristar Pattern,-100,0.915,0.1832,77332200.0,81855851,1.0,1.0,1
SPY,5y,3,Tristar Pattern,100,0.0309,0.1832,42955167.0,81874842,1.0,1.0,1
SPY,5y,3,Unique 3 River,100,-2.8218,0.1842,93165733.0,81850129,1.0,1.0,1
SPY,5y,3,Upside Gap Two Crows,100,,0.1834,,81845080,,,0
SPY,5y,3,Upside/Downside Gap Three Methods,-100,-0.1973,0.1795,82681583.0,81832004,0.81,0.93,4
SPY,5y,3,Upside/Downside Gap Three Methods,100,0.6187,0.1827,81521500.0,81830325,1.0,1.0,1
SPY,5y,4,Two Crows,100,,0.1834,,81845080,,,0
SPY,5y,4,Three Black Crows,100,,0.1834,,81845080,,,0
SPY,5y,4,Three Inside Up/Down,-100,1.0679,0.2438,89259138.0,81731990,0.33,0.39,15
SPY,5y,4,Three Inside Up/Down,100,0.6817,0.244,75004656.0,81967112,0.35,0.48,12
